"","Season","School"
"7062","2007-2008","Bowling Green State"
"7063","2007-2008","Bradley"
"7064","2007-2008","Brigham Young"
"7065","2007-2008","Brown"
"7066","2007-2008","Bucknell"
"7067","2007-2008","Buffalo"
"7068","2007-2008","Butler"
"7069","2007-2008","Cal Poly"
"7070","2007-2008","Cal State Fullerton"
"7071","2007-2008","Cal State Northridge"
"7072","2007-2008","Campbell"
"7073","2007-2008","Canisius"
"7074","2007-2008","Centenary (LA)"
"7075","2007-2008","Central Connecticut State"
"7076","2007-2008","Central Florida"
"7077","2007-2008","Central Michigan"
"7078","2007-2008","Charleston Southern"
"7079","2007-2008","Charlotte"
"7080","2007-2008","Chattanooga"
"7081","2007-2008","Chicago State"
"7082","2007-2008","Cincinnati"
"7083","2007-2008","Citadel"
"7084","2007-2008","Clemson"
"7085","2007-2008","Cleveland State"
"7086","2007-2008","Coastal Carolina"
"7087","2007-2008","Colgate"
"7088","2007-2008","College of Charleston"
"7089","2007-2008","Colorado"
"7090","2007-2008","Colorado State"
"7091","2007-2008","Columbia"
"7092","2007-2008","Connecticut"
"7093","2007-2008","Coppin State"
"7094","2007-2008","Cornell"
"7095","2007-2008","Creighton"
"7096","2007-2008","Dartmouth"
"7097","2007-2008","Davidson"
"7098","2007-2008","Dayton"
"7099","2007-2008","Delaware"
"7100","2007-2008","Delaware State"
"7101","2007-2008","Denver"
"7102","2007-2008","DePaul"
"7103","2007-2008","Detroit Mercy"
"7104","2007-2008","Drake"
"7105","2007-2008","Drexel"
"7106","2007-2008","Duke"
"7107","2007-2008","Duquesne"
"7108","2007-2008","East Carolina"
"7109","2007-2008","East Tennessee State"
"7110","2007-2008","Eastern Illinois"
"7111","2007-2008","Eastern Kentucky"
"7112","2007-2008","Eastern Michigan"
"7113","2007-2008","Eastern Washington"
"7114","2007-2008","Elon"
"7115","2007-2008","Evansville"
"7116","2007-2008","Fairfield"
"7117","2007-2008","Fairleigh Dickinson"
"7118","2007-2008","Florida"
"7119","2007-2008","Florida A&M"
"7120","2007-2008","Florida Atlantic"
"7121","2007-2008","Florida International"
"7122","2007-2008","Florida State"
"7123","2007-2008","Fordham"
"7124","2007-2008","Fort Wayne"
"7125","2007-2008","Fresno State"
"7126","2007-2008","Furman"
"7127","2007-2008","Gardner-Webb"
"7128","2007-2008","George Mason"
"7129","2007-2008","George Washington"
"7130","2007-2008","Georgetown"
"7131","2007-2008","Georgia"
"7132","2007-2008","Georgia Southern"
"7133","2007-2008","Georgia State"
"7134","2007-2008","Georgia Tech"
"7135","2007-2008","Gonzaga"
"7136","2007-2008","Grambling"
"7137","2007-2008","Green Bay"
"7138","2007-2008","Hampton"
"7139","2007-2008","Hartford"
"7140","2007-2008","Harvard"
"7141","2007-2008","Hawaii"
"7142","2007-2008","High Point"
"7143","2007-2008","Hofstra"
"7144","2007-2008","Holy Cross"
"7145","2007-2008","Houston"
"7146","2007-2008","Howard"
"7147","2007-2008","Idaho"
"7148","2007-2008","Idaho State"
"7149","2007-2008","Illinois"
"7150","2007-2008","Illinois-Chicago"
"7151","2007-2008","Illinois State"
"7152","2007-2008","Indiana"
"7153","2007-2008","Indiana State"
"7154","2007-2008","Iona"
"7155","2007-2008","Iowa"
"7156","2007-2008","Iowa State"
"7157","2007-2008","IUPUI"
"7158","2007-2008","Jackson State"
"7159","2007-2008","Jacksonville"
"7160","2007-2008","Jacksonville State"
"7161","2007-2008","James Madison"
"7162","2007-2008","Kansas"
"7163","2007-2008","Kansas State"
"7164","2007-2008","Kent State"
"7165","2007-2008","Kentucky"
"7166","2007-2008","La Salle"
"7167","2007-2008","Lafayette"
"7168","2007-2008","Lamar"
"7169","2007-2008","Lehigh"
"7170","2007-2008","Liberty"
"7171","2007-2008","Lipscomb"
"7172","2007-2008","Little Rock"
"7173","2007-2008","Long Beach State"
"7174","2007-2008","Long Island University"
"7175","2007-2008","Longwood"
"7176","2007-2008","Louisiana"
"7177","2007-2008","Louisiana-Monroe"
"7178","2007-2008","Louisiana State"
"7179","2007-2008","Louisiana Tech"
"7180","2007-2008","Louisville"
"7181","2007-2008","Loyola (IL)"
"7182","2007-2008","Loyola (MD)"
"7183","2007-2008","Loyola Marymount"
"7184","2007-2008","Maine"
"7185","2007-2008","Manhattan"
"7186","2007-2008","Marist"
"7187","2007-2008","Marquette"
"7188","2007-2008","Marshall"
"7189","2007-2008","Maryland"
"7190","2007-2008","Maryland-Baltimore County"
"7191","2007-2008","Maryland-Eastern Shore"
"7192","2007-2008","Massachusetts"
"7193","2007-2008","McNeese State"
"7194","2007-2008","Memphis"
"7195","2007-2008","Mercer"
"7196","2007-2008","Miami (FL)"
"7197","2007-2008","Miami (OH)"
"7198","2007-2008","Michigan"
"7199","2007-2008","Michigan State"
"7200","2007-2008","Middle Tennessee"
"7201","2007-2008","Milwaukee"
"7202","2007-2008","Minnesota"
"7203","2007-2008","Mississippi"
"7204","2007-2008","Mississippi State"
"7205","2007-2008","Mississippi Valley State"
"7206","2007-2008","Missouri"
"7207","2007-2008","Missouri-Kansas City"
"7208","2007-2008","Missouri State"
"7209","2007-2008","Monmouth"
"7210","2007-2008","Montana"
"7211","2007-2008","Montana State"
"7212","2007-2008","Morehead State"
"7213","2007-2008","Morgan State"
"7214","2007-2008","Mount St. Mary's"
"7215","2007-2008","Murray State"
"7216","2007-2008","Navy"
"7217","2007-2008","Nebraska"
"7218","2007-2008","Nevada"
"7219","2007-2008","Nevada-Las Vegas"
"7220","2007-2008","New Hampshire"
"7221","2007-2008","New Mexico"
"7222","2007-2008","New Mexico State"
"7223","2007-2008","New Orleans"
"7224","2007-2008","Niagara"
"7225","2007-2008","Nicholls State"
"7226","2007-2008","Norfolk State"
"7227","2007-2008","North Carolina"
"7228","2007-2008","North Carolina-Asheville"
"7229","2007-2008","North Carolina-Greensboro"
"7230","2007-2008","North Carolina-Wilmington"
"7231","2007-2008","North Carolina A&T"
"7232","2007-2008","North Carolina State"
"7233","2007-2008","North Texas"
"7234","2007-2008","Northeastern"
"7235","2007-2008","Northern Arizona"
"7236","2007-2008","Northern Colorado"
"7237","2007-2008","Northern Illinois"
"7238","2007-2008","Northern Iowa"
"7239","2007-2008","Northwestern"
"7240","2007-2008","Northwestern State"
"7241","2007-2008","Notre Dame"
"7242","2007-2008","Oakland"
"7243","2007-2008","Ohio"
"7244","2007-2008","Ohio State"
"7245","2007-2008","Oklahoma"
"7246","2007-2008","Oklahoma State"
"7247","2007-2008","Old Dominion"
"7248","2007-2008","Oral Roberts"
"7249","2007-2008","Oregon"
"7250","2007-2008","Oregon State"
"7251","2007-2008","Pacific"
"7252","2007-2008","Penn State"
"7253","2007-2008","Pennsylvania"
"7254","2007-2008","Pepperdine"
"7255","2007-2008","Pittsburgh"
"7256","2007-2008","Portland"
"7257","2007-2008","Portland State"
"7258","2007-2008","Prairie View"
"7259","2007-2008","Princeton"
"7260","2007-2008","Providence"
"7261","2007-2008","Purdue"
"7262","2007-2008","Quinnipiac"
"7263","2007-2008","Radford"
"7264","2007-2008","Rhode Island"
"7265","2007-2008","Rice"
"7266","2007-2008","Richmond"
"7267","2007-2008","Rider"
"7268","2007-2008","Robert Morris"
"7269","2007-2008","Rutgers"
"7270","2007-2008","Sacramento State"
"7271","2007-2008","Sacred Heart"
"7272","2007-2008","Saint Francis (PA)"
"7273","2007-2008","Saint Joseph's"
"7274","2007-2008","Saint Louis"
"7275","2007-2008","Saint Mary's (CA)"
"7276","2007-2008","Saint Peter's"
"7277","2007-2008","Sam Houston State"
"7278","2007-2008","Samford"
"7279","2007-2008","San Diego"
"7280","2007-2008","San Diego State"
"7281","2007-2008","San Francisco"
"7282","2007-2008","San Jose State"
"7283","2007-2008","Santa Clara"
"7284","2007-2008","Savannah State"
"7285","2007-2008","Seton Hall"
"7286","2007-2008","Siena"
"7287","2007-2008","South Alabama"
"7288","2007-2008","South Carolina"
"7289","2007-2008","South Carolina State"
"7290","2007-2008","South Florida"
"7291","2007-2008","Southeast Missouri State"
"7292","2007-2008","Southeastern Louisiana"
"7293","2007-2008","Southern"
"7294","2007-2008","Southern California"
"7295","2007-2008","Southern Illinois"
"7296","2007-2008","Southern Methodist"
"7297","2007-2008","Southern Mississippi"
"7298","2007-2008","Southern Utah"
"7299","2007-2008","St. Bonaventure"
"7300","2007-2008","St. Francis (NY)"
"7301","2007-2008","St. John's (NY)"
"7302","2007-2008","Stanford"
"7303","2007-2008","Stephen F. Austin"
"7304","2007-2008","Stetson"
"7305","2007-2008","Stony Brook"
"7306","2007-2008","Syracuse"
"7307","2007-2008","Temple"
"7308","2007-2008","Tennessee"
"7309","2007-2008","Tennessee-Martin"
"7310","2007-2008","Tennessee State"
"7311","2007-2008","Tennessee Tech"
"7312","2007-2008","Texas"
"7313","2007-2008","Texas-Arlington"
"7314","2007-2008","Texas-El Paso"
"7315","2007-2008","Texas-Rio Grande Valley"
"7316","2007-2008","Texas-San Antonio"
"7317","2007-2008","Texas A&M"
"7318","2007-2008","Texas A&M-Corpus Christi"
"7319","2007-2008","Texas Christian"
"7320","2007-2008","Texas Southern"
"7321","2007-2008","Texas State"
"7322","2007-2008","Texas Tech"
"7323","2007-2008","Toledo"
"7324","2007-2008","Towson"
"7325","2007-2008","Troy"
"7326","2007-2008","Tulane"
"7327","2007-2008","Tulsa"
"7328","2007-2008","UC-Davis"
"7329","2007-2008","UC-Irvine"
"7330","2007-2008","UC-Riverside"
"7331","2007-2008","UC-Santa Barbara"
"7332","2007-2008","UCLA"
"7333","2007-2008","University of California"
"7334","2007-2008","Utah"
"7335","2007-2008","Utah State"
"7336","2007-2008","Valparaiso"
"7337","2007-2008","Vanderbilt"
"7338","2007-2008","Vermont"
"7339","2007-2008","Villanova"
"7340","2007-2008","Virginia"
"7341","2007-2008","Virginia Commonwealth"
"7342","2007-2008","Virginia Tech"
"7343","2007-2008","VMI"
"7344","2007-2008","Wagner"
"7345","2007-2008","Wake Forest"
"7346","2007-2008","Washington"
"7347","2007-2008","Washington State"
"7348","2007-2008","Weber State"
"7349","2007-2008","West Virginia"
"7350","2007-2008","Western Carolina"
"7351","2007-2008","Western Illinois"
"7352","2007-2008","Western Kentucky"
"7353","2007-2008","Western Michigan"
"7354","2007-2008","Wichita State"
"7355","2007-2008","William & Mary"
"7356","2007-2008","Winthrop"
"7357","2007-2008","Wisconsin"
"7358","2007-2008","Wofford"
"7359","2007-2008","Wright State"
"7360","2007-2008","Wyoming"
"7361","2007-2008","Xavier"
"7362","2007-2008","Yale"
"7363","2007-2008","Youngstown State"
"7364","2008-2009","Air Force"
"7365","2008-2009","Akron"
"7366","2008-2009","Alabama"
"7367","2008-2009","Alabama-Birmingham"
"7368","2008-2009","Alabama A&M"
"7369","2008-2009","Alabama State"
"7370","2008-2009","Albany (NY)"
"7371","2008-2009","Alcorn State"
"7372","2008-2009","American"
"7373","2008-2009","Appalachian State"
"7374","2008-2009","Arizona"
"7375","2008-2009","Arizona State"
"7376","2008-2009","Arkansas"
"7377","2008-2009","Arkansas-Pine Bluff"
"7378","2008-2009","Arkansas State"
"7379","2008-2009","Army"
"7380","2008-2009","Auburn"
"7381","2008-2009","Austin Peay"
"7382","2008-2009","Ball State"
"7383","2008-2009","Baylor"
"7384","2008-2009","Belmont"
"7385","2008-2009","Bethune-Cookman"
"7386","2008-2009","Binghamton"
"7387","2008-2009","Boise State"
"7388","2008-2009","Boston College"
"7389","2008-2009","Boston University"
"7390","2008-2009","Bowling Green State"
"7391","2008-2009","Bradley"
"7392","2008-2009","Brigham Young"
"7393","2008-2009","Brown"
"7394","2008-2009","Bucknell"
"7395","2008-2009","Buffalo"
"7396","2008-2009","Butler"
"7397","2008-2009","Cal Poly"
"7398","2008-2009","Cal State Fullerton"
"7399","2008-2009","Cal State Northridge"
"7400","2008-2009","Campbell"
"7401","2008-2009","Canisius"
"7402","2008-2009","Centenary (LA)"
"7403","2008-2009","Central Connecticut State"
"7404","2008-2009","Central Florida"
"7405","2008-2009","Central Michigan"
"7406","2008-2009","Charleston Southern"
"7407","2008-2009","Charlotte"
"7408","2008-2009","Chattanooga"
"7409","2008-2009","Chicago State"
"7410","2008-2009","Cincinnati"
"7411","2008-2009","Citadel"
"7412","2008-2009","Clemson"
"7413","2008-2009","Cleveland State"
"7414","2008-2009","Coastal Carolina"
"7415","2008-2009","Colgate"
"7416","2008-2009","College of Charleston"
"7417","2008-2009","Colorado"
"7418","2008-2009","Colorado State"
"7419","2008-2009","Columbia"
"7420","2008-2009","Connecticut"
"7421","2008-2009","Coppin State"
"7422","2008-2009","Cornell"
"7423","2008-2009","Creighton"
"7424","2008-2009","Dartmouth"
"7425","2008-2009","Davidson"
"7426","2008-2009","Dayton"
"7427","2008-2009","Delaware"
"7428","2008-2009","Delaware State"
"7429","2008-2009","Denver"
"7430","2008-2009","DePaul"
"7431","2008-2009","Detroit Mercy"
"7432","2008-2009","Drake"
"7433","2008-2009","Drexel"
"7434","2008-2009","Duke"
"7435","2008-2009","Duquesne"
"7436","2008-2009","East Carolina"
"7437","2008-2009","East Tennessee State"
"7438","2008-2009","Eastern Illinois"
"7439","2008-2009","Eastern Kentucky"
"7440","2008-2009","Eastern Michigan"
"7441","2008-2009","Eastern Washington"
"7442","2008-2009","Elon"
"7443","2008-2009","Evansville"
"7444","2008-2009","Fairfield"
"7445","2008-2009","Fairleigh Dickinson"
"7446","2008-2009","Florida"
"7447","2008-2009","Florida A&M"
"7448","2008-2009","Florida Atlantic"
"7449","2008-2009","Florida International"
"7450","2008-2009","Florida State"
"7451","2008-2009","Fordham"
"7452","2008-2009","Fort Wayne"
"7453","2008-2009","Fresno State"
"7454","2008-2009","Furman"
"7455","2008-2009","Gardner-Webb"
"7456","2008-2009","George Mason"
"7457","2008-2009","George Washington"
"7458","2008-2009","Georgetown"
"7459","2008-2009","Georgia"
"7460","2008-2009","Georgia Southern"
"7461","2008-2009","Georgia State"
"7462","2008-2009","Georgia Tech"
"7463","2008-2009","Gonzaga"
"7464","2008-2009","Grambling"
"7465","2008-2009","Green Bay"
"7466","2008-2009","Hampton"
"7467","2008-2009","Hartford"
"7468","2008-2009","Harvard"
"7469","2008-2009","Hawaii"
"7470","2008-2009","High Point"
"7471","2008-2009","Hofstra"
"7472","2008-2009","Holy Cross"
"7473","2008-2009","Houston"
"7474","2008-2009","Howard"
"7475","2008-2009","Idaho"
"7476","2008-2009","Idaho State"
"7477","2008-2009","Illinois"
"7478","2008-2009","Illinois-Chicago"
"7479","2008-2009","Illinois State"
"7480","2008-2009","Indiana"
"7481","2008-2009","Indiana State"
"7482","2008-2009","Iona"
"7483","2008-2009","Iowa"
"7484","2008-2009","Iowa State"
"7485","2008-2009","IUPUI"
"7486","2008-2009","Jackson State"
"7487","2008-2009","Jacksonville"
"7488","2008-2009","Jacksonville State"
"7489","2008-2009","James Madison"
"7490","2008-2009","Kansas"
"7491","2008-2009","Kansas State"
"7492","2008-2009","Kent State"
"7493","2008-2009","Kentucky"
"7494","2008-2009","La Salle"
"7495","2008-2009","Lafayette"
"7496","2008-2009","Lamar"
"7497","2008-2009","Lehigh"
"7498","2008-2009","Liberty"
"7499","2008-2009","Lipscomb"
"7500","2008-2009","Little Rock"
"7501","2008-2009","Long Beach State"
"7502","2008-2009","Long Island University"
"7503","2008-2009","Longwood"
"7504","2008-2009","Louisiana"
"7505","2008-2009","Louisiana-Monroe"
"7506","2008-2009","Louisiana State"
"7507","2008-2009","Louisiana Tech"
"7508","2008-2009","Louisville"
"7509","2008-2009","Loyola (IL)"
"7510","2008-2009","Loyola (MD)"
"7511","2008-2009","Loyola Marymount"
"7512","2008-2009","Maine"
"7513","2008-2009","Manhattan"
"7514","2008-2009","Marist"
"7515","2008-2009","Marquette"
"7516","2008-2009","Marshall"
"7517","2008-2009","Maryland"
"7518","2008-2009","Maryland-Baltimore County"
"7519","2008-2009","Maryland-Eastern Shore"
"7520","2008-2009","Massachusetts"
"7521","2008-2009","McNeese State"
"7522","2008-2009","Memphis"
"7523","2008-2009","Mercer"
"7524","2008-2009","Miami (FL)"
"7525","2008-2009","Miami (OH)"
"7526","2008-2009","Michigan"
"7527","2008-2009","Michigan State"
"7528","2008-2009","Middle Tennessee"
"7529","2008-2009","Milwaukee"
"7530","2008-2009","Minnesota"
"7531","2008-2009","Mississippi"
"7532","2008-2009","Mississippi State"
"7533","2008-2009","Mississippi Valley State"
"7534","2008-2009","Missouri"
"7535","2008-2009","Missouri-Kansas City"
"7536","2008-2009","Missouri State"
"7537","2008-2009","Monmouth"
"7538","2008-2009","Montana"
"7539","2008-2009","Montana State"
"7540","2008-2009","Morehead State"
"7541","2008-2009","Morgan State"
"7542","2008-2009","Mount St. Mary's"
"7543","2008-2009","Murray State"
"7544","2008-2009","Navy"
"7545","2008-2009","Nebraska"
"7546","2008-2009","Nevada"
"7547","2008-2009","Nevada-Las Vegas"
"7548","2008-2009","New Hampshire"
"7549","2008-2009","New Mexico"
"7550","2008-2009","New Mexico State"
"7551","2008-2009","New Orleans"
"7552","2008-2009","Niagara"
"7553","2008-2009","Nicholls State"
"7554","2008-2009","Norfolk State"
"7555","2008-2009","North Carolina"
"7556","2008-2009","North Carolina-Asheville"
"7557","2008-2009","North Carolina-Greensboro"
"7558","2008-2009","North Carolina-Wilmington"
"7559","2008-2009","North Carolina A&T"
"7560","2008-2009","North Carolina State"
"7561","2008-2009","North Dakota State"
"7562","2008-2009","North Texas"
"7563","2008-2009","Northeastern"
"7564","2008-2009","Northern Arizona"
"7565","2008-2009","Northern Colorado"
"7566","2008-2009","Northern Illinois"
"7567","2008-2009","Northern Iowa"
"7568","2008-2009","Northwestern"
